NUMBER_OF_DRONES,MOBILITY_ALPHA,MAC_MODE,TRAFFIC_RATE,sent,arrived,pdr_percent,e2e_delay_ms,routing_load,throughput_kbps,hop_count,collisions,mac_delay_ms,inference_time_s,seed,timestamp
10,0.5,CSMA,5,768,703,91.53645833333334,619.4041009957326,0.9246088193456614,820.6216484658667,1.9971550497866288,57,5.457754558204768,47321.32421517372,2026,2026-02-03T14:35:51.867266
10,0.5,CSMA,5,762,528,69.29133858267717,80.40633333333332,1.4109848484848484,982.2126345219689,1.918560606060606,60,5.092826996197719,47319.02040696144,2027,2026-02-03T14:35:50.763131
10,0.85,CSMA,5,754,708,93.89920424403184,25.038505649717514,0.9180790960451978,1043.3409170167306,1.6454802259887005,40,5.7339377049180325,47328.14087224007,2025,2026-02-03T14:36:01.787884
10,0.85,CSMA,5,768,726,94.53125,588.6744848484849,0.8953168044077136,761.6670936247599,2.1556473829201104,42,5.190379926108374,47324.028838157654,2026,2026-02-03T14:35:58.627931
10,0.85,CSMA,5,762,586,76.9028871391076,872.4292798634812,1.4641638225255973,668.499331744519,2.3156996587030716,83,6.806324099722991,47325.2930996418,2027,2026-02-03T14:36:00.812004
5,0.5,CSMA,10,823,818,99.3924665856622,295.8188349633252,0.3973105134474328,1108.0340261122246,1.482885085574572,6,4.7100388751033915,47326.1566631794,2025,2026-02-03T14:36:02.787531
5,0.5,CSMA,10,815,756,92.76073619631902,1395.2345383597883,0.4298941798941799,1052.1134858521766,1.2447089947089947,4,6.130178053830228,47327.52485346794,2026,2026-02-03T14:36:05.403871
5,0.5,CSMA,10,788,769,97.58883248730965,18.799370611183356,0.4226267880364109,1294.810099862901,1.4070221066319897,0,4.940244767970882,47303.188091278076,2027,2026-02-03T14:35:45.251234
5,0.85,CSMA,10,823,783,95.1397326852977,141.51844189016603,0.4240102171136654,1208.8684753714729,1.3831417624521072,2,5.800743135518158,47320.35630559921,2025,2026-02-03T14:36:04.387834
5,0.85,CSMA,10,815,495,60.73619631901841,37.48100808080808,0.7111111111111111,1577.0874453913302,1.0,0,11.68662910798122,47292.12377643585,2026,2026-02-03T14:35:37.210795
5,0.85,CSMA,10,788,763,96.8274111675127,20.320450851900393,0.4259501965923984,1174.1786355818613,1.5504587155963303,0,5.005952184666117,47293.24388861656,2027,2026-02-03T14:35:39.307229
10,0.5,CSMA,10,1564,1534,98.08184143222506,41.51499934810951,0.44654498044328556,733.7155259836,1.6310299869621903,83,5.330703292344308,47308.41784954071,2025,2026-02-03T14:35:57.451954
10,0.5,CSMA,10,1558,1275,81.83568677792042,420.4257568627451,0.56,617.3472442497689,1.8627450980392157,28,7.709227041813208,47305.761984825134,2026,2026-02-03T14:35:55.635952
10,0.5,CSMA,10,1535,1063,69.25081433224756,82.18969238005644,0.7036688617121355,726.966941302159,1.8842897460018815,66,6.265396289248335,47282.50668382645,2027,2026-02-03T14:35:54.595905
10,0.85,CSMA,10,1564,1506,96.29156010230179,52.91041434262948,0.4448871181938911,659.4404193566439,1.6719787516600266,52,6.765322304398599,172.2494866847992,2025,2026-02-03T14:38:19.143001
10,0.85,CSMA,10,1558,1256,80.61617458279846,980.0127515923567,0.5636942675159236,452.949245450311,1.9339171974522293,70,8.071436434659091,148.00393199920654,2026,2026-02-03T14:37:56.023123
10,0.85,CSMA,10,1535,1041,67.81758957654723,715.620585975024,0.8491834774255523,513.2959510018965,2.025936599423631,94,7.715740666399037,171.61173129081726,2027,2026-02-03T14:38:21.383055
5,0.5,CSMA,15,1247,1242,99.5990376904571,509.9333115942029,0.2616747181964573,908.4320551773534,1.4685990338164252,6,4.608727322704783,115.0025200843811,2025,2026-02-03T14:37:28.598253
5,0.5,CSMA,15,1256,1175,93.55095541401273,1482.5598408510639,0.2765957446808511,895.5147839375137,1.2578723404255319,8,5.487108,107.5544912815094,2026,2026-02-03T14:37:22.374133
5,0.5,CSMA,15,1203,1167,97.0074812967581,18.561640959725793,0.27849185946872324,1131.073993285357,1.3967437874892887,2,5.586784043191361,101.09798669815063,2027,2026-02-03T14:37:16.789381
5,0.85,CSMA,15,1247,1184,94.94787489975943,183.85642820945947,0.29307432432432434,1020.1407202781053,1.4070945945945945,2,5.9374683323649045,101.38591623306274,2025,2026-02-03T14:37:18.597335
5,0.85,CSMA,15,1256,759,60.42993630573248,61.10995388669301,0.463768115942029,1514.2485301812962,1.0013175230566536,4,9.972218543046358,103.80233955383301,2026,2026-02-03T14:37:23.110093
5,0.85,CSMA,15,1203,1165,96.84123025768912,22.293896995708153,0.27896995708154504,987.2404071342562,1.5467811158798284,0,5.456273218142549,98.86541986465454,2027,2026-02-03T14:37:19.581389
10,0.5,CSMA,15,2384,1867,78.31375838926175,1260.9364692019283,0.38832351365827533,100.55996831813843,1.5998928762720943,46,13.881833079035703,157.3631887435913,2025,2026-02-03T14:38:20.839623
10,0.5,CSMA,15,2366,1714,72.4429416737109,994.7138319719953,0.4148191365227538,193.76136421616897,1.8325554259043173,67,6.496774509803921,163.29895567893982,2026,2026-02-03T14:38:28.550671
10,0.5,CSMA,15,2348,1608,68.48381601362861,781.8979185323384,0.47450248756218905,248.2944486978059,1.8700248756218905,37,7.0428147676639075,167.04325938224792,2027,2026-02-03T14:38:33.710741
10,0.85,CSMA,15,2384,1799,75.46140939597315,1182.3367248471372,0.38743746525847694,135.0380696984395,1.593107281823235,66,14.357492216687422,193.1350495815277,2025,2026-02-03T14:39:01.131533
10,0.85,CSMA,15,2366,1499,63.35587489433643,1260.1147238158771,0.4923282188125417,202.94477258378507,1.7158105403602402,71,10.092847370021284,191.92641806602478,2026,2026-02-03T14:39:01.611166
10,0.85,CSMA,15,2348,1500,63.88415672913118,1127.765644,0.5633333333333334,193.47841421911068,1.91,104,7.321239819004525,160.20285964012146,2027,2026-02-03T14:38:30.966459
